ProductKey;ProductItemCode;ProductName;ProductColor;ProductSize;ProductLine;CategoryName;SubcategoryName;ProductDescription;ModelName;ProductStatus
252;FR-R92R-56;"HL Road Frame - Red, 56";Red;56;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
253;FR-R38B-58;"LL Road Frame - Black, 58";Black;58;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
254;FR-R38B-58;"LL Road Frame - Black, 58";Black;58;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
255;FR-R38B-58;"LL Road Frame - Black, 58";Black;58;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
256;FR-R38B-60;"LL Road Frame - Black, 60";Black;60;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
257;FR-R38B-60;"LL Road Frame - Black, 60";Black;60;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
258;FR-R38B-60;"LL Road Frame - Black, 60";Black;60;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
259;FR-R38B-62;"LL Road Frame - Black, 62";Black;62;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
260;FR-R38B-62;"LL Road Frame - Black, 62";Black;62;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
261;FR-R38B-62;"LL Road Frame - Black, 62";Black;62;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
262;FR-R38R-44;"LL Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
263;FR-R38R-44;"LL Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
264;FR-R38R-48;"LL Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
265;FR-R38R-48;"LL Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
266;FR-R38R-52;"LL Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
267;FR-R38R-52;"LL Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
268;FR-R38R-58;"LL Road Frame - Red, 58";Red;58;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
269;FR-R38R-58;"LL Road Frame - Red, 58";Red;58;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
270;FR-R38R-60;"LL Road Frame - Red, 60";Red;60;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
271;FR-R38R-60;"LL Road Frame - Red, 60";Red;60;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
272;FR-R38R-62;"LL Road Frame - Red, 62";Red;62;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
273;FR-R38R-62;"LL Road Frame - Red, 62";Red;62;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
274;FR-R72R-44;"ML Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";ML Road Frame;Outdate
275;FR-R72R-48;"ML Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";ML Road Frame;Outdate
276;FR-R72R-52;"ML Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";ML Road Frame;Outdate
277;FR-R72R-58;"ML Road Frame - Red, 58";Red;58;R ;Components;Road Frames;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";ML Road Frame;Outdate
278;FR-R72R-60;"ML Road Frame - Red, 60";Red;60;R ;Components;Road Frames;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";ML Road Frame;Outdate
279;FR-R38B-44;"LL Road Frame - Black, 44";Black;44;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
280;FR-R38B-44;"LL Road Frame - Black, 44";Black;44;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
281;FR-R38B-44;"LL Road Frame - Black, 44";Black;44;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
282;FR-R38B-48;"LL Road Frame - Black, 48";Black;48;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
283;FR-R38B-48;"LL Road Frame - Black, 48";Black;48;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
284;FR-R38B-48;"LL Road Frame - Black, 48";Black;48;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
285;FR-R38B-52;"LL Road Frame - Black, 52";Black;52;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
286;FR-R38B-52;"LL Road Frame - Black, 52";Black;52;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Outdate
287;FR-R38B-52;"LL Road Frame - Black, 52";Black;52;R ;Components;Road Frames;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";LL Road Frame;Current
288;FR-M94S-42;"HL Mountain Frame - Silver, 42";Silver;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
289;FR-M94S-42;"HL Mountain Frame - Silver, 42";Silver;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
290;FR-M94S-42;"HL Mountain Frame - Silver, 42";Silver;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
291;FR-M94S-44;"HL Mountain Frame - Silver, 44";Silver;44;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
292;FR-M94S-52;"HL Mountain Frame - Silver, 48";Silver;48;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
293;FR-M94S-46;"HL Mountain Frame - Silver, 46";Silver;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
294;FR-M94S-46;"HL Mountain Frame - Silver, 46";Silver;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
295;FR-M94S-46;"HL Mountain Frame - Silver, 46";Silver;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
296;FR-M94B-42;"HL Mountain Frame - Black, 42";Black;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
297;FR-M94B-42;"HL Mountain Frame - Black, 42";Black;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
298;FR-M94B-42;"HL Mountain Frame - Black, 42";Black;42;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
299;FR-M94B-44;"HL Mountain Frame - Black, 44";Black;44;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
300;FR-M94B-48;"HL Mountain Frame - Black, 48";Black;48;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
301;FR-M94B-46;"HL Mountain Frame - Black, 46";Black;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
302;FR-M94B-46;"HL Mountain Frame - Black, 46";Black;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
303;FR-M94B-46;"HL Mountain Frame - Black, 46";Black;46;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
304;FR-M94B-38;"HL Mountain Frame - Black, 38";Black;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
305;FR-M94B-38;"HL Mountain Frame - Black, 38";Black;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
306;FR-M94B-38;"HL Mountain Frame - Black, 38";Black;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
307;FR-M94S-38;"HL Mountain Frame - Silver, 38";Silver;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
308;FR-M94S-38;"HL Mountain Frame - Silver, 38";Silver;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Outdate
309;FR-M94S-38;"HL Mountain Frame - Silver, 38";Silver;38;M ;Components;Mountain Frames;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;HL Mountain Frame;Current
310;BK-R93R-62;"Road-150 Red, 62";Red;62;R ;Bikes;Road Bikes;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";Road-150;Outdate
311;BK-R93R-44;"Road-150 Red, 44";Red;44;R ;Bikes;Road Bikes;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";Road-150;Outdate
312;BK-R93R-48;"Road-150 Red, 48";Red;48;R ;Bikes;Road Bikes;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";Road-150;Outdate
313;BK-R93R-52;"Road-150 Red, 52";Red;52;R ;Bikes;Road Bikes;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";Road-150;Outdate
314;BK-R93R-56;"Road-150 Red, 56";Red;56;R ;Bikes;Road Bikes;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";Road-150;Outdate
315;BK-R68R-58;"Road-450 Red, 58";Red;58;R ;Bikes;Road Bikes;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";Road-450;Outdate
316;BK-R68R-60;"Road-450 Red, 60";Red;60;R ;Bikes;Road Bikes;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";Road-450;Outdate
317;BK-R68R-44;"Road-450 Red, 44";Red;44;R ;Bikes;Road Bikes;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";Road-450;Outdate
318;BK-R68R-48;"Road-450 Red, 48";Red;48;R ;Bikes;Road Bikes;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";Road-450;Outdate
319;BK-R68R-52;"Road-450 Red, 52";Red;52;R ;Bikes;Road Bikes;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";Road-450;Outdate
320;BK-R50R-58;"Road-650 Red, 58";Red;58;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
321;BK-R50R-58;"Road-650 Red, 58";Red;58;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
322;BK-R50R-60;"Road-650 Red, 60";Red;60;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
323;BK-R50R-60;"Road-650 Red, 60";Red;60;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
324;BK-R50R-62;"Road-650 Red, 62";Red;62;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
325;BK-R50R-62;"Road-650 Red, 62";Red;62;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
326;BK-R50R-44;"Road-650 Red, 44";Red;44;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
327;BK-R50R-44;"Road-650 Red, 44";Red;44;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
328;BK-R50R-48;"Road-650 Red, 48";Red;48;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
329;BK-R50R-48;"Road-650 Red, 48";Red;48;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
330;BK-R50R-52;"Road-650 Red, 52";Red;52;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
331;BK-R50R-52;"Road-650 Red, 52";Red;52;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
332;BK-R50B-58;"Road-650 Black, 58";Black;58;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
333;BK-R50B-58;"Road-650 Black, 58";Black;58;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
334;BK-R50B-60;"Road-650 Black, 60";Black;60;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
335;BK-R50B-60;"Road-650 Black, 60";Black;60;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
336;BK-R50B-62;"Road-650 Black, 62";Black;62;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
337;BK-R50B-62;"Road-650 Black, 62";Black;62;R ;Bikes;Road Bikes;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";Road-650;Outdate
