ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesOrderNumber;SalesAmount
310;20230125;20230206;20230201;27663;SO43821;"1341,8513"
313;20230125;20230206;20230201;27669;SO43822;"1341,8513"
342;20230125;20230206;20230201;19942;SO43823;"262,1619"
338;20230125;20230206;20230201;14558;SO43824;"262,1619"
313;20230125;20230206;20230201;16349;SO43825;"1341,8513"
348;20230125;20230206;20230201;11008;SO43826;"1265,6213"
338;20230125;20230206;20230201;25250;SO43827;"262,1619"
310;20230126;20230207;20230202;27605;SO43828;"1341,8513"
310;20230126;20230207;20230202;27611;SO43829;"1341,8513"
311;20230126;20230207;20230202;16347;SO43830;"1341,8513"
349;20230126;20230207;20230202;11028;SO43831;"1265,6213"
310;20230126;20230207;20230202;13584;SO43832;"1341,8513"
310;20230127;20230208;20230203;21727;SO43833;"1341,8513"
348;20230127;20230208;20230203;28393;SO43834;"1265,6213"
348;20230127;20230208;20230203;19802;SO43835;"1265,6213"
324;20230127;20230208;20230203;26620;SO43836;"262,1619"
350;20230127;20230208;20230203;11009;SO43837;"1265,6213"
313;20230128;20230209;20230204;27641;SO43838;"1341,8513"
311;20230128;20230209;20230204;27673;SO43839;"1341,8513"
326;20230128;20230209;20230204;17957;SO43840;"262,1619"
314;20230128;20230209;20230204;13406;SO43841;"1341,8513"
312;20230128;20230209;20230204;16630;SO43842;"1341,8513"
313;20230129;20230210;20230205;22041;SO43918;"1341,8513"
314;20230129;20230210;20230205;12124;SO43919;"1341,8513"
313;20230129;20230210;20230205;28066;SO43920;"1341,8513"
313;20230129;20230210;20230205;16743;SO43921;"1341,8513"
310;20230129;20230210;20230205;13546;SO43922;"1341,8513"
312;20230130;20230211;20230206;28018;SO43923;"1341,8513"
310;20230130;20230211;20230206;12132;SO43924;"1341,8513"
314;20230130;20230211;20230206;16661;SO43925;"1341,8513"
351;20230131;20230212;20230207;11055;SO43926;"1265,6213"
314;20230131;20230212;20230207;16662;SO43927;"1341,8513"
313;20230131;20230212;20230207;16740;SO43928;"1341,8513"
322;20230131;20230212;20230207;25270;SO43929;"262,1619"
312;20230201;20230213;20230208;28038;SO43930;"1341,8513"
313;20230201;20230213;20230208;13548;SO43931;"1341,8513"
314;20230201;20230213;20230208;16741;SO43932;"1341,8513"
347;20230201;20230213;20230208;11031;SO43933;"1274,9963"
346;20230201;20230213;20230208;11034;SO43934;"1274,9963"
334;20230202;20230214;20230209;20048;SO43935;"262,1619"
311;20230202;20230214;20230209;28065;SO43936;"1341,8513"
312;20230202;20230214;20230209;17047;SO43937;"1341,8513"
310;20230202;20230214;20230209;16686;SO43938;"1341,8513"
312;20230202;20230214;20230209;16659;SO43939;"1341,8513"
336;20230202;20230214;20230209;25294;SO43940;"262,1619"
314;20230203;20230215;20230210;13600;SO43941;"1341,8513"
310;20230203;20230215;20230210;17051;SO43942;"1341,8513"
338;20230203;20230215;20230210;14565;SO43943;"262,1619"
344;20230203;20230215;20230210;11054;SO43944;"1274,9963"
310;20230203;20230215;20230210;16675;SO43945;"1341,8513"
313;20230203;20230215;20230210;16687;SO43946;"1341,8513"
310;20230203;20230215;20230210;16712;SO43947;"1341,8513"
345;20230203;20230215;20230210;11047;SO43948;"1274,9963"
310;20230204;20230216;20230211;27726;SO43949;"1341,8513"
311;20230204;20230216;20230211;28014;SO43950;"1341,8513"
311;20230204;20230216;20230211;16696;SO43951;"1341,8513"
312;20230204;20230216;20230211;16639;SO43952;"1341,8513"
342;20230205;20230217;20230212;20049;SO43953;"262,1619"
311;20230205;20230217;20230212;13602;SO43954;"1341,8513"
314;20230205;20230217;20230212;13661;SO43955;"1341,8513"
344;20230205;20230217;20230212;11030;SO43956;"1274,9963"
313;20230206;20230218;20230213;28068;SO43957;"1341,8513"
312;20230206;20230218;20230213;16658;SO43958;"1341,8513"
348;20230206;20230218;20230213;11035;SO43959;"1265,6213"
349;20230206;20230218;20230213;11046;SO43960;"1265,6213"
311;20230207;20230219;20230214;28031;SO43961;"1341,8513"
312;20230207;20230219;20230214;28076;SO43962;"1341,8513"
314;20230207;20230219;20230214;16685;SO43963;"1341,8513"
312;20230207;20230219;20230214;16745;SO43964;"1341,8513"
351;20230207;20230219;20230214;11038;SO43965;"1265,6213"
347;20230207;20230219;20230214;11039;SO43966;"1274,9963"
313;20230208;20230220;20230215;28040;SO43967;"1341,8513"
313;20230208;20230220;20230215;28067;SO43968;"1341,8513"
310;20230208;20230220;20230215;28071;SO43969;"1341,8513"
311;20230208;20230220;20230215;16684;SO43970;"1341,8513"
314;20230208;20230220;20230215;16657;SO43971;"1341,8513"
314;20230209;20230221;20230216;21939;SO43972;"1341,8513"
312;20230209;20230221;20230216;28039;SO43973;"1341,8513"
312;20230209;20230221;20230216;13687;SO43974;"1341,8513"
312;20230209;20230221;20230216;13540;SO43975;"1341,8513"
310;20230209;20230221;20230216;28063;SO43976;"1341,8513"
312;20230209;20230221;20230216;16703;SO43977;"1341,8513"
310;20230210;20230222;20230217;28030;SO43978;"1341,8513"
322;20230210;20230222;20230217;14576;SO43979;"262,1619"
351;20230210;20230222;20230217;11048;SO43980;"1265,6213"
314;20230210;20230222;20230217;16664;SO43981;"1341,8513"
342;20230210;20230222;20230217;25271;SO43982;"262,1619"
314;20230211;20230223;20230218;28017;SO43983;"1341,8513"
311;20230211;20230223;20230218;13545;SO43984;"1341,8513"
313;20230211;20230223;20230218;13515;SO43985;"1341,8513"
310;20230211;20230223;20230218;28070;SO43986;"1341,8513"
310;20230212;20230224;20230219;28042;SO43987;"1341,8513"
344;20230212;20230224;20230219;11244;SO43988;"1274,9963"
312;20230212;20230224;20230219;28083;SO43989;"1341,8513"
344;20230212;20230224;20230219;25872;SO43990;"1274,9963"
310;20230212;20230224;20230219;16660;SO43991;"1341,8513"
311;20230212;20230224;20230219;16638;SO43992;"1341,8513"
314;20230214;20230226;20230221;16929;SO43993;"1341,8513"
314;20230215;20230227;20230222;27681;SO43994;"1341,8513"
312;20230215;20230227;20230222;21813;SO43995;"1341,8513"
310;20230215;20230227;20230222;27920;SO43996;"1341,8513"
310;20230215;20230227;20230222;28022;SO43997;"1341,8513"
348;20230215;20230227;20230222;11033;SO43998;"1265,6213"
311;20230215;20230227;20230222;28047;SO43999;"1341,8513"
311;20230216;20230228;20230223;27918;SO44000;"1341,8513"
313;20230216;20230228;20230223;28044;SO44001;"1341,8513"
336;20230216;20230228;20230223;14572;SO44002;"262,1619"
342;20230216;20230228;20230223;19325;SO44003;"262,1619"
310;20230216;20230228;20230223;28061;SO44004;"1341,8513"
334;20230216;20230228;20230223;26629;SO44005;"262,1619"
310;20230216;20230228;20230223;16744;SO44006;"1341,8513"
320;20230216;20230228;20230223;25555;SO44007;"262,1619"
312;20230217;20230301;20230224;27678;SO44008;"1341,8513"
314;20230217;20230301;20230224;27759;SO44009;"1341,8513"
310;20230217;20230301;20230224;13680;SO44010;"1341,8513"
310;20230217;20230301;20230224;13514;SO44011;"1341,8513"
349;20230217;20230301;20230224;11052;SO44012;"1265,6213"
312;20230217;20230301;20230224;16928;SO44013;"1341,8513"
313;20230218;20230302;20230225;27917;SO44014;"1341,8513"
311;20230218;20230302;20230225;13693;SO44015;"1341,8513"
350;20230218;20230302;20230225;11247;SO44016;"1265,6213"
310;20230218;20230302;20230225;28078;SO44017;"1341,8513"
350;20230218;20230302;20230225;25876;SO44018;"1265,6213"
310;20230218;20230302;20230225;16701;SO44019;"1341,8513"
311;20230218;20230302;20230225;16931;SO44020;"1341,8513"
348;20230218;20230302;20230225;11032;SO44021;"1265,6213"
313;20230219;20230303;20230226;22008;SO44022;"1341,8513"
349;20230219;20230303;20230226;19830;SO44023;"1265,6213"
314;20230219;20230303;20230226;16663;SO44024;"1341,8513"
314;20230219;20230303;20230226;16708;SO44025;"1341,8513"
310;20230219;20230303;20230226;17045;SO44026;"1341,8513"
310;20230220;20230304;20230227;21921;SO44027;"1341,8513"
312;20230220;20230304;20230227;17048;SO44028;"1341,8513"
350;20230220;20230304;20230227;11050;SO44029;"1265,6213"
311;20230221;20230305;20230228;12131;SO44030;"1341,8513"
313;20230221;20230305;20230228;13689;SO44031;"1341,8513"
344;20230221;20230305;20230228;11243;SO44032;"1274,9963"
314;20230221;20230305;20230228;16693;SO44033;"1341,8513"
313;20230221;20230305;20230228;16702;SO44034;"1341,8513"
312;20230221;20230305;20230228;16707;SO44035;"1341,8513"
310;20230221;20230305;20230228;17046;SO44036;"1341,8513"
328;20230221;20230305;20230228;25272;SO44037;"262,1619"
344;20230221;20230305;20230228;25868;SO44038;"1274,9963"
342;20230222;20230306;20230301;17971;SO44039;"262,1619"
351;20230222;20230306;20230301;11057;SO44040;"1265,6213"
313;20230222;20230306;20230301;16742;SO44041;"1341,8513"
313;20230223;20230307;20230302;13678;SO44042;"1341,8513"
311;20230223;20230307;20230302;13679;SO44043;"1341,8513"
314;20230223;20230307;20230302;13690;SO44044;"1341,8513"
344;20230223;20230307;20230302;28394;SO44045;"1274,9963"
313;20230223;20230307;20230302;28064;SO44046;"1341,8513"
344;20230223;20230307;20230302;25878;SO44047;"1274,9963"
314;20230223;20230307;20230302;16713;SO44048;"1341,8513"
314;20230224;20230308;20230303;13538;SO44049;"1341,8513"
310;20230224;20230308;20230303;17050;SO44050;"1341,8513"
310;20230225;20230309;20230304;13691;SO44051;"1341,8513"
314;20230225;20230309;20230304;16637;SO44052;"1341,8513"
338;20230226;20230310;20230305;19329;SO44053;"262,1619"
314;20230226;20230310;20230305;13542;SO44054;"1341,8513"
310;20230226;20230310;20230305;13543;SO44055;"1341,8513"
314;20230226;20230310;20230305;13559;SO44056;"1341,8513"
338;20230226;20230310;20230305;14577;SO44057;"262,1619"
350;20230226;20230310;20230305;11056;SO44058;"1265,6213"
313;20230226;20230310;20230305;16688;SO44059;"1341,8513"
342;20230226;20230310;20230305;25273;SO44060;"262,1619"
310;20230227;20230311;20230306;27919;SO44061;"1341,8513"
310;20230227;20230311;20230306;28041;SO44062;"1341,8513"
344;20230227;20230311;20230306;11240;SO44063;"1274,9963"
310;20230227;20230311;20230306;22050;SO44064;"1341,8513"
310;20230227;20230311;20230306;28062;SO44065;"1341,8513"
344;20230227;20230311;20230306;25867;SO44066;"1274,9963"
310;20230227;20230311;20230306;17049;SO44067;"1341,8513"
313;20230228;20230312;20230307;13541;SO44068;"1341,8513"
349;20230228;20230312;20230307;28395;SO44069;"1265,6213"
349;20230228;20230312;20230307;19829;SO44070;"1265,6213"
313;20230228;20230312;20230307;16691;SO44071;"1341,8513"
311;20230228;20230312;20230307;16656;SO44072;"1341,8513"
351;20230228;20230312;20230307;11044;SO44073;"1265,6213"
310;20230301;20230313;20230308;13821;SO44134;"1341,8513"
310;20230301;20230313;20230308;28156;SO44135;"1341,8513"
311;20230301;20230313;20230308;22114;SO44136;"1341,8513"
314;20230301;20230313;20230308;17328;SO44137;"1341,8513"
310;20230302;20230314;20230309;13765;SO44138;"1341,8513"
311;20230302;20230314;20230309;13792;SO44139;"1341,8513"
311;20230302;20230314;20230309;12221;SO44140;"1341,8513"
313;20230302;20230314;20230309;13572;SO44141;"1341,8513"
313;20230302;20230314;20230309;22058;SO44142;"1341,8513"
313;20230302;20230314;20230309;28145;SO44143;"1341,8513"
312;20230302;20230314;20230309;17071;SO44144;"1341,8513"
310;20230302;20230314;20230309;17309;SO44145;"1341,8513"
313;20230302;20230314;20230309;17310;SO44146;"1341,8513"
310;20230302;20230314;20230309;17320;SO44147;"1341,8513"
310;20230303;20230315;20230310;28172;SO44148;"1341,8513"
312;20230303;20230315;20230310;17242;SO44149;"1341,8513"
312;20230303;20230315;20230310;17315;SO44150;"1341,8513"
328;20230303;20230315;20230310;25558;SO44151;"262,1619"
346;20230304;20230316;20230311;11334;SO44152;"1274,9963"
312;20230304;20230316;20230311;28168;SO44153;"1341,8513"
311;20230304;20230316;20230311;28181;SO44154;"1341,8513"
313;20230304;20230316;20230311;28131;SO44155;"1341,8513"
346;20230304;20230316;20230311;25887;SO44156;"1274,9963"
314;20230304;20230316;20230311;17055;SO44157;"1341,8513"
311;20230305;20230317;20230312;13567;SO44158;"1341,8513"
311;20230305;20230317;20230312;28182;SO44159;"1341,8513"
312;20230305;20230317;20230312;28186;SO44160;"1341,8513"
314;20230306;20230318;20230313;13772;SO44161;"1341,8513"
311;20230306;20230318;20230313;28185;SO44162;"1341,8513"
314;20230306;20230318;20230313;28193;SO44163;"1341,8513"
310;20230306;20230318;20230313;28088;SO44164;"1341,8513"
313;20230306;20230318;20230313;17065;SO44165;"1341,8513"
338;20230306;20230318;20230313;14581;SO44166;"262,1619"
314;20230306;20230318;20230313;17308;SO44167;"1341,8513"
313;20230307;20230319;20230314;12211;SO44168;"1341,8513"
311;20230307;20230319;20230314;28179;SO44169;"1341,8513"
314;20230307;20230319;20230314;28183;SO44170;"1341,8513"
313;20230307;20230319;20230314;28112;SO44171;"1341,8513"
338;20230307;20230319;20230314;14584;SO44172;"262,1619"
312;20230308;20230320;20230315;13784;SO44173;"1341,8513"
311;20230308;20230320;20230315;17229;SO44174;"1341,8513"
313;20230308;20230320;20230315;17246;SO44175;"1341,8513"
314;20230309;20230321;20230316;12220;SO44176;"1341,8513"
350;20230309;20230321;20230316;11337;SO44177;"1265,6213"
312;20230309;20230321;20230316;28097;SO44178;"1341,8513"
350;20230309;20230321;20230316;25888;SO44179;"1265,6213"
347;20230309;20230321;20230316;11058;SO44180;"1274,9963"
312;20230309;20230321;20230316;17294;SO44181;"1341,8513"
310;20230309;20230321;20230316;17299;SO44182;"1341,8513"
310;20230310;20230322;20230317;28158;SO44183;"1341,8513"
314;20230310;20230322;20230317;17247;SO44184;"1341,8513"
310;20230310;20230322;20230317;17280;SO44185;"1341,8513"
347;20230312;20230324;20230319;25889;SO44186;"1274,9963"
313;20230312;20230324;20230319;17069;SO44187;"1341,8513"
334;20230313;20230325;20230320;20052;SO44188;"262,1619"
322;20230313;20230325;20230320;20054;SO44189;"262,1619"
348;20230313;20230325;20230320;11061;SO44190;"1265,6213"
310;20230313;20230325;20230320;17248;SO44191;"1341,8513"
312;20230314;20230326;20230321;13570;SO44192;"1341,8513"
312;20230314;20230326;20230321;28164;SO44193;"1341,8513"
310;20230314;20230326;20230321;17064;SO44194;"1341,8513"
313;20230314;20230326;20230321;17249;SO44195;"1341,8513"
314;20230314;20230326;20230321;17295;SO44196;"1341,8513"
312;20230315;20230327;20230322;28096;SO44197;"1341,8513"
310;20230315;20230327;20230322;28150;SO44198;"1341,8513"
313;20230315;20230327;20230322;17259;SO44199;"1341,8513"
311;20230315;20230327;20230322;17312;SO44200;"1341,8513"
313;20230316;20230328;20230323;12254;SO44201;"1341,8513"
311;20230316;20230328;20230323;28159;SO44202;"1341,8513"
312;20230316;20230328;20230323;28149;SO44203;"1341,8513"
336;20230316;20230328;20230323;14580;SO44204;"262,1619"
312;20230316;20230328;20230323;17285;SO44205;"1341,8513"
347;20230317;20230329;20230324;11250;SO44206;"1274,9963"
313;20230317;20230329;20230324;28162;SO44207;"1341,8513"
347;20230317;20230329;20230324;25879;SO44208;"1274,9963"
311;20230317;20230329;20230324;17257;SO44209;"1341,8513"
310;20230318;20230330;20230325;13783;SO44210;"1341,8513"
313;20230318;20230330;20230325;28154;SO44211;"1341,8513"
312;20230318;20230330;20230325;28170;SO44212;"1341,8513"
310;20230318;20230330;20230325;17351;SO44213;"1341,8513"
311;20230318;20230330;20230325;17332;SO44214;"1341,8513"
312;20230319;20230331;20230326;28180;SO44215;"1341,8513"
314;20230319;20230331;20230326;13560;SO44216;"1341,8513"
310;20230319;20230331;20230326;28148;SO44217;"1341,8513"
311;20230319;20230331;20230326;22109;SO44218;"1341,8513"
338;20230319;20230331;20230326;14590;SO44219;"262,1619"
345;20230319;20230331;20230326;11060;SO44220;"1274,9963"
314;20230319;20230331;20230326;17255;SO44221;"1341,8513"
311;20230319;20230331;20230326;17258;SO44222;"1341,8513"
310;20230320;20230401;20230327;13847;SO44223;"1341,8513"
314;20230320;20230401;20230327;28166;SO44224;"1341,8513"
322;20230321;20230402;20230328;20060;SO44225;"262,1619"
313;20230321;20230402;20230328;12255;SO44226;"1341,8513"
349;20230321;20230402;20230328;28401;SO44227;"1265,6213"
344;20230321;20230402;20230328;11333;SO44228;"1274,9963"
344;20230321;20230402;20230328;25886;SO44229;"1274,9963"
312;20230321;20230402;20230328;17241;SO44230;"1341,8513"
334;20230321;20230402;20230328;17973;SO44231;"262,1619"
312;20230321;20230402;20230328;17334;SO44232;"1341,8513"
310;20230322;20230403;20230329;13841;SO44233;"1341,8513"
312;20230322;20230403;20230329;28184;SO44234;"1341,8513"
313;20230322;20230403;20230329;22117;SO44235;"1341,8513"
312;20230322;20230403;20230329;28191;SO44236;"1341,8513"
310;20230322;20230403;20230329;17056;SO44237;"1341,8513"
311;20230322;20230403;20230329;17079;SO44238;"1341,8513"
311;20230323;20230404;20230330;12217;SO44239;"1341,8513"
311;20230323;20230404;20230330;13580;SO44240;"1341,8513"
313;20230323;20230404;20230330;28155;SO44241;"1341,8513"
313;20230323;20230404;20230330;28163;SO44242;"1341,8513"
312;20230323;20230404;20230330;17278;SO44243;"1341,8513"
312;20230323;20230404;20230330;17329;SO44244;"1341,8513"
330;20230323;20230404;20230330;25556;SO44245;"262,1619"
312;20230324;20230405;20230331;12219;SO44246;"1341,8513"
310;20230324;20230405;20230331;17233;SO44247;"1341,8513"
313;20230324;20230405;20230331;17240;SO44248;"1341,8513"
313;20230325;20230406;20230401;13845;SO44249;"1341,8513"
312;20230325;20230406;20230401;28167;SO44250;"1341,8513"
311;20230325;20230406;20230401;28190;SO44251;"1341,8513"
312;20230326;20230407;20230402;13777;SO44252;"1341,8513"
310;20230326;20230407;20230402;28099;SO44253;"1341,8513"
314;20230326;20230407;20230402;28142;SO44254;"1341,8513"
340;20230326;20230407;20230402;14585;SO44255;"262,1619"
312;20230326;20230407;20230402;17232;SO44256;"1341,8513"
313;20230327;20230408;20230403;12212;SO44257;"1341,8513"
310;20230327;20230408;20230403;13579;SO44258;"1341,8513"
312;20230327;20230408;20230403;28171;SO44259;"1341,8513"
312;20230327;20230408;20230403;28194;SO44260;"1341,8513"
312;20230327;20230408;20230403;22112;SO44261;"1341,8513"
322;20230327;20230408;20230403;20149;SO44262;"262,1619"
310;20230327;20230408;20230403;17279;SO44263;"1341,8513"
313;20230327;20230408;20230403;17286;SO44264;"1341,8513"
320;20230327;20230408;20230403;25557;SO44265;"262,1619"
336;20230327;20230408;20230403;25559;SO44266;"262,1619"
336;20230328;20230409;20230404;19339;SO44267;"262,1619"
312;20230328;20230409;20230404;13820;SO44268;"1341,8513"
326;20230329;20230410;20230405;14589;SO44269;"262,1619"
314;20230330;20230411;20230406;13794;SO44270;"1341,8513"
314;20230330;20230411;20230406;13846;SO44271;"1341,8513"
311;20230330;20230411;20230406;12256;SO44272;"1341,8513"
311;20230330;20230411;20230406;28147;SO44273;"1341,8513"
314;20230330;20230411;20230406;28152;SO44274;"1341,8513"
311;20230330;20230411;20230406;17256;SO44275;"1341,8513"
313;20230330;20230411;20230406;17277;SO44276;"1341,8513"
311;20230330;20230411;20230406;17288;SO44277;"1341,8513"
310;20230330;20230411;20230406;17293;SO44278;"1341,8513"
313;20230330;20230411;20230406;17326;SO44279;"1341,8513"
314;20230331;20230412;20230407;14429;SO44320;"1341,8513"
311;20230331;20230412;20230407;28222;SO44321;"1341,8513"
328;20230331;20230412;20230407;17975;SO44322;"262,1619"
344;20230331;20230412;20230407;11072;SO44323;"1274,9963"
311;20230401;20230413;20230408;12267;SO44324;"2719,4852"
351;20230401;20230413;20230408;11095;SO44325;"2564,9924"
312;20230401;20230413;20230408;17728;SO44326;"2719,4852"
314;20230402;20230414;20230409;28598;SO44327;"2719,4852"
310;20230402;20230414;20230409;17921;SO44328;"2719,4852"
311;20230402;20230414;20230409;17904;SO44329;"2719,4852"
312;20230402;20230414;20230409;28199;SO44330;"2719,4852"
311;20230403;20230415;20230410;28257;SO44331;"2719,4852"
310;20230403;20230415;20230410;17510;SO44332;"2719,4852"
345;20230404;20230416;20230411;11343;SO44333;"2583,9924"
311;20230404;20230416;20230411;28273;SO44334;"2719,4852"
324;20230404;20230416;20230411;20165;SO44335;"531,3146"
